"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"vector_add",1,19600,19600.000000,53.85,19600,19600,0.00000000e+00
"__amd_rocclr_copyBuffer",3,16800,5600.000000,46.15,2600,11040,4719.491498
