"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 1",1,0,2445039,1,7,"__amd_rocclr_copyBuffer",8,1728981316985336,1728981316996376,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2445039,2,7,"__amd_rocclr_copyBuffer",9,1728981317036704,1728981317039864,0,0,16,0,128,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",2,1,2445039,3,1,"vector_add",11,1728981321997241,1728981322016841,0,0,8,0,128,256,1,1,1024,1,1
"KERNEL_DISPATCH","Agent 1",1,0,2445039,4,7,"__amd_rocclr_copyBuffer",13,1728981322296331,1728981322298931,0,0,16,0,128,512,1,1,512,1,1
