"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"HIP_API",18,47213080,2622948.888889,92.54,2896,16250761,5068737.391092
"MEMORY_ALLOCATION",13,3770214,290016.461538,7.39,992,890689,360383.688158
"KERNEL_DISPATCH",4,36400,9100.000000,0.0713,2600,19600,7990.561098
