"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"MEMORY_ALLOCATION_ALLOCATE",8,3163354,395419.250000,83.90,992,890689,417859.572751
"MEMORY_ALLOCATION_FREE",5,606860,121372.000000,16.10,1994,300059,162163.281866
