slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,24,00:00:24,002_00-00-24.jpg
3,42,00:00:42,003_00-00-42.jpg
4,340,00:05:40,004_00-05-40.jpg
5,1418,00:23:38,005_00-23-38.jpg
6,1540,00:25:40,006_00-25-40.jpg
7,1746,00:29:06,007_00-29-06.jpg
8,1828,00:30:28,008_00-30-28.jpg
9,2182,00:36:22,009_00-36-22.jpg
10,2370,00:39:30,010_00-39-30.jpg
11,2836,00:47:16,011_00-47-16.jpg
12,2980,00:49:40,012_00-49-40.jpg
13,3280,00:54:40,013_00-54-40.jpg
14,3474,00:57:54,014_00-57-54.jpg
15,3552,00:59:12,015_00-59-12.jpg
16,3594,00:59:54,016_00-59-54.jpg
17,3650,01:00:50,017_01-00-50.jpg
18,3714,01:01:54,018_01-01-54.jpg
19,3890,01:04:50,019_01-04-50.jpg
