slide,timestamp_seconds,timestamp,file
1,5,00:00:05,001_00-00-05.jpg
2,35,00:00:35,002_00-00-35.jpg
3,90,00:01:30,003_00-01-30.jpg
4,210,00:03:30,004_00-03-30.jpg
5,300,00:05:00,005_00-05-00.jpg
6,450,00:07:30,006_00-07-30.jpg
7,600,00:10:00,007_00-10-00.jpg
8,750,00:12:30,008_00-12-30.jpg
9,810,00:13:30,009_00-13-30.jpg
10,900,00:15:00,010_00-15-00.jpg
11,1020,00:17:00,011_00-17-00.jpg
12,1110,00:18:30,012_00-18-30.jpg
13,1230,00:20:30,013_00-20-30.jpg
14,1320,00:22:00,014_00-22-00.jpg
15,1440,00:24:00,015_00-24-00.jpg
16,1560,00:26:00,016_00-26-00.jpg
17,1680,00:28:00,017_00-28-00.jpg
18,1800,00:30:00,018_00-30-00.jpg
19,2040,00:34:00,019_00-34-00.jpg
20,2340,00:39:00,020_00-39-00.jpg
21,2580,00:43:00,021_00-43-00.jpg
22,2820,00:47:00,022_00-47-00.jpg
