"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"HIP_API",18,55038234,3057679.666667,70.64,301,22013338,5802951.102212
"KERNEL_DISPATCH",1,21702660,21702660.000000,27.85,21702660,21702660,0.00000000e+00
"MEMORY_ALLOCATION",5,1163468,232693.600000,1.49,6502,553652,292384.875172
"MEMORY_COPY",1,10960,10960.000000,0.0141,10960,10960,0.00000000e+00
