"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"MEMORY_ALLOCATION_ALLOCATE",4,1156966,289241.500000,99.44,25347,553652,304413.294185
"MEMORY_ALLOCATION_FREE",1,6502,6502.000000,0.5588,6502,6502,0.00000000e+00
