slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,16,00:00:16,002_00-00-16.jpg
3,360,00:06:00,003_00-06-00.jpg
4,746,00:12:26,004_00-12-26.jpg
5,1260,00:21:00,005_00-21-00.jpg
6,1816,00:30:16,006_00-30-16.jpg
7,1998,00:33:18,007_00-33-18.jpg
8,2170,00:36:10,008_00-36-10.jpg
9,2346,00:39:06,009_00-39-06.jpg
10,2648,00:44:08,010_00-44-08.jpg
11,2908,00:48:28,011_00-48-28.jpg
12,3228,00:53:48,012_00-53-48.jpg
13,3694,01:01:34,013_01-01-34.jpg
14,3984,01:06:24,014_01-06-24.jpg
15,4442,01:14:02,015_01-14-02.jpg
16,4722,01:18:42,016_01-18-42.jpg
17,5182,01:26:22,017_01-26-22.jpg
