slide,timestamp_seconds,timestamp,file
1,4,00:00:04,001_00-00-04.jpg
2,54,00:00:54,002_00-00-54.jpg
3,580,00:09:40,003_00-09-40.jpg
4,786,00:13:06,004_00-13-06.jpg
5,1162,00:19:22,005_00-19-22.jpg
6,1618,00:26:58,006_00-26-58.jpg
7,2086,00:34:46,007_00-34-46.jpg
8,2480,00:41:20,008_00-41-20.jpg
9,2560,00:42:40,009_00-42-40.jpg
10,3206,00:53:26,010_00-53-26.jpg
11,3672,01:01:12,011_01-01-12.jpg
12,3784,01:03:04,012_01-03-04.jpg
13,4462,01:14:22,013_01-14-22.jpg
14,4700,01:18:20,014_01-18-20.jpg
15,4944,01:22:24,015_01-22-24.jpg
16,5152,01:25:52,016_01-25-52.jpg
17,5460,01:31:00,017_01-31-00.jpg
18,5750,01:35:50,018_01-35-50.jpg
19,6068,01:41:08,019_01-41-08.jpg
